Name,Batted,BA,HR,Height,Weight,BMI,BMI_Classification
Denny Lemaster,R,0.13,4,73,182,24.009382623381498,normal
Joe Nolan,L,0.263,27,71,175,24.404879984130133,normal
Denny Doyle,L,0.25,16,69,175,25.84015963032976,overweight
Jose Cardenal,R,0.275,138,70,150,21.520408163265305,normal
Mike Ryan,R,0.193,28,74,205,26.31756756756757,overweight
Fritz Peterson,B,0.159,2,72,185,25.0877700617284,overweight
Dick Bertell,R,0.25,10,72,200,27.12191358024691,overweight
Rod Kanehl,R,0.24100000000000002,6,73,180,23.74554325389379,normal
Juan Bonilla,R,0.256,7,69,170,25.10186935517748,overweight
Frank Tepedino,L,0.24100000000000002,6,71,185,25.799444554651853,overweight
Rick Wise,R,0.195,15,73,180,23.74554325389379,normal
Darrell Evans,L,0.248,414,74,200,25.675675675675674,overweight
Buck Martinez,R,0.225,58,70,190,27.259183673469387,overweight
John Wockenfuss,R,0.262,86,72,190,25.765817901234566,overweight
Tommy McCraw,L,0.24600000000000002,75,72,183,24.816550925925924,normal
Lee Lacy,R,0.28600000000000003,91,73,175,23.085944830174512,normal
Pete Rose,B,0.303,160,71,192,26.775639754017057,overweight
Danny Walton,R,0.223,28,72,195,26.44386574074074,overweight
Bobby Cox,R,0.225,9,71,180,25.102162269390995,overweight
Brad Wellman,R,0.231,6,72,170,23.053626543209877,normal
Jeff Newman,R,0.22399999999999998,63,74,215,27.60135135135135,overweight
Pedro Gonzalez,R,0.244,8,72,176,23.86728395061729,normal
Tommie Reynolds,R,0.226,12,74,190,24.39189189189189,normal
Gene Clines,R,0.27699999999999997,5,69,170,25.10186935517748,overweight
Jim Hickman,R,0.252,159,75,192,23.995733333333334,normal
Jack Billingham,R,0.111,0,76,195,23.73355263157895,normal
Jerry Buchek,R,0.22,22,71,185,25.799444554651853,overweight
Ivan DeJesus,R,0.254,21,71,175,24.404879984130133,normal
Gary Nolan,R,0.138,1,74,197,25.29054054054054,overweight
Fred Whitfield,L,0.253,108,73,190,25.064740101332333,overweight
Larry Dierker,R,0.136,4,76,215,26.167763157894736,overweight
Dave Skaggs,R,0.24100000000000002,3,74,200,25.675675675675674,overweight
Dick Ruthven,R,0.183,1,75,190,23.745777777777775,normal
